Date,Open,High,Low,Close,Adj Close,Volume
2018-08-06,8990.000000,9035.000000,8915.000000,8945.000000,7616.391113,13798000
2018-08-07,8920.000000,8945.000000,8670.000000,8710.000000,7416.294434,18736500
2018-08-08,8760.000000,8795.000000,8595.000000,8600.000000,7322.631836,15150000
2018-08-09,8600.000000,8680.000000,8580.000000,8600.000000,7322.631836,7640000
2018-08-10,8680.000000,8720.000000,8635.000000,8710.000000,7416.294434,6211000
2018-08-13,8710.000000,8710.000000,8515.000000,8520.000000,7254.515625,7364500
2018-08-14,8520.000000,8520.000000,8080.000000,8200.000000,6982.044922,26017500
2018-08-15,8220.000000,8295.000000,8095.000000,8160.000000,6947.985840,8085000
2018-08-16,8160.000000,8510.000000,8120.000000,8505.000000,7241.742676,12282000
2018-08-17,8505.000000,8505.000000,8505.000000,8505.000000,7241.742676,0
2018-08-20,8520.000000,8640.000000,8470.000000,8470.000000,7211.941895,10759000
2018-08-21,8475.000000,8690.000000,8475.000000,8520.000000,7254.515625,5905500
2018-08-22,8520.000000,8520.000000,8520.000000,8520.000000,7254.515625,0
2018-08-23,8540.000000,8680.000000,8400.000000,8670.000000,7382.235840,14146500
2018-08-24,8700.000000,8700.000000,8555.000000,8600.000000,7322.631836,5122500
2018-08-27,8600.000000,8740.000000,8560.000000,8740.000000,7441.839355,7378500
2018-08-28,8740.000000,8835.000000,8720.000000,8835.000000,7522.728516,8690000
2018-08-29,8835.000000,8905.000000,8640.000000,8890.000000,7569.559082,11313500
2018-08-30,8890.000000,8920.000000,8755.000000,8860.000000,7544.015625,7008000
2018-08-31,8700.000000,8795.000000,8635.000000,8770.000000,7467.381836,11247000
2018-09-03,8790.000000,8790.000000,8695.000000,8735.000000,7437.580566,5491000
2018-09-04,8745.000000,8800.000000,8630.000000,8795.000000,7488.669434,5183000
2018-09-05,8790.000000,8790.000000,8200.000000,8320.000000,7084.220703,13913500
2018-09-06,8320.000000,8600.000000,8320.000000,8415.000000,7165.111328,15019500
2018-09-07,8430.000000,8910.000000,8430.000000,8895.000000,7573.816406,18795500
2018-09-10,8895.000000,9105.000000,8750.000000,9105.000000,7752.625000,24314000
2018-09-11,9105.000000,9105.000000,9105.000000,9105.000000,7752.625000,0
2018-09-12,9110.000000,9320.000000,9105.000000,9225.000000,7854.801270,20178000
2018-09-13,9225.000000,9315.000000,9210.000000,9310.000000,7927.176270,9448500
2018-09-14,9300.000000,9445.000000,9250.000000,9420.000000,8020.837891,13296500
2018-09-17,9420.000000,9425.000000,9130.000000,9210.000000,7842.030273,8578000
2018-09-18,9190.000000,9210.000000,9000.000000,9105.000000,7752.625000,12961500
2018-09-19,9110.000000,9360.000000,9110.000000,9240.000000,7867.572266,7205000
2018-09-20,9295.000000,9430.000000,9295.000000,9325.000000,7939.947754,12398500
2018-09-21,9420.000000,9420.000000,9360.000000,9415.000000,8016.580566,12007500
2018-09-24,9420.000000,9430.000000,9395.000000,9415.000000,8016.580566,10079000
2018-09-25,9415.000000,9420.000000,9200.000000,9200.000000,7833.515625,7353000
2018-09-26,9200.000000,9420.000000,9195.000000,9215.000000,7846.286133,9266500
2018-09-27,9220.000000,9440.000000,9215.000000,9430.000000,8029.350586,9335500
2018-09-28,9430.000000,9440.000000,9380.000000,9405.000000,8008.065918,8419000
2018-10-01,9305.000000,9440.000000,9255.000000,9260.000000,7884.602539,6590000
2018-10-02,9260.000000,9300.000000,9155.000000,9155.000000,7795.196777,7686500
2018-10-03,9155.000000,9210.000000,8920.000000,8970.000000,7637.676270,5431000
2018-10-04,8970.000000,8970.000000,8570.000000,8605.000000,7326.889648,16013000
2018-10-05,8605.000000,8630.000000,8460.000000,8535.000000,7267.287598,11899500
2018-10-08,8560.000000,9000.000000,8560.000000,8840.000000,7526.985840,11964000
2018-10-09,8840.000000,8970.000000,8645.000000,8880.000000,7561.043945,5861000
2018-10-10,8960.000000,9000.000000,8840.000000,8980.000000,7646.191406,5666500
